Designator,Mid X,Mid Y,Layer,Rotation
J1,2.54mm,8.255mm,Top,0.0
J2,22.86mm,3.175mm,Top,180.0
C752,18.68mm,8.024999999999999mm,Bottom,180.0
C753,18.655mm,6.1mm,Bottom,0.0
C755,16.655mm,11.225000000000001mm,Bottom,0.0
C756,14.52mm,11.225000000000001mm,Bottom,0.0
C757,14.52mm,10.274999999999999mm,Bottom,0.0
C760,9.33mm,4.525mm,Bottom,270.0
C761,6.38mm,12.114999999999998mm,Bottom,180.0
C762,9.326436999999999mm,6.360389mm,Bottom,90.0
C764,18.475mm,11.225000000000001mm,Bottom,180.0
C766,18.525mm,12.155000000000001mm,Bottom,180.0
R752,7.089252999999999mm,6.474mm,Bottom,0.0
R753,7.089252999999999mm,4.55mm,Bottom,180.0
R754,18.58mm,10.274999999999999mm,Bottom,180.0
R757,18.53mm,9.325mm,Bottom,0.0
R760,18.655mm,7.05mm,Bottom,0.0
R761,16.705mm,10.274999999999999mm,Bottom,180.0
R762,16.63mm,9.325mm,Bottom,180.0
R763,18.54mm,4.015mm,Bottom,0.0
R765,14.52mm,12.155000000000001mm,Bottom,180.0
R766,14.532915mm,9.325073mm,Bottom,180.0
U752,11.53mm,10.925mm,Bottom,0.0
U753,13.745716999999999mm,6.074999999999999mm,Bottom,270.0
U757,7.43mm,9.845784mm,Bottom,0.0
C751,10.504999999999999mm,5.425mm,Top,270.0
C754,14.08mm,4.445mm,Top,90.0
C758,16.38mm,4.445mm,Top,270.0
C759,14.08mm,6.436593mm,Top,90.0
C763,6.38mm,7.675mm,Top,180.0
C765,9.54mm,9.495000000000001mm,Top,0.0
C767,16.38mm,6.436593mm,Top,90.0
C768,11.77mm,10.745000000000001mm,Top,90.0
C769,18.869999999999997mm,7.025mm,Top,180.0
D751,6.819999999999999mm,8.915mm,Top,0.0
R751,6.68mm,10.524999999999999mm,Top,180.0
R755,11.02mm,6.824999999999999mm,Top,180.0
R756,10.975mm,3.9499999999999997mm,Top,0.0
R758,11.73mm,5.389215mm,Top,270.0
R759,11.02mm,7.825mm,Top,0.0
R764,15.08mm,4.445mm,Top,90.0
R767,13.08mm,6.436593mm,Top,270.0
R768,15.08mm,6.436593mm,Top,90.0
R769,13.08mm,4.445mm,Top,90.0
R770,9.120000000000001mm,7.835mm,Top,0.0
U751,7.755706mm,5.506596999999999mm,Top,180.0
U754,15.92803mm,10.125mm,Top,270.0
U755,9.739999999999998mm,11.415mm,Top,0.0
U756,18.276795mm,5.025mm,Top,90.0
